Date,Open,High,Low,Close,AdjClose,Volume
2020-06-01,100.019997,100.019997,100.010002,100.010002,84.087563,1600
2020-06-02,100.019997,100.019997,100.013,100.013,84.090088,4000
2020-06-03,100.014999,100.014999,100.014999,100.014999,84.091751,100
2020-06-04,100,100.021004,100,100.014999,84.091751,2400
2020-06-05,100.019997,100.019997,100.010002,100.010002,84.087563,400
2020-06-08,100.010002,100.010002,100.010002,100.010002,84.087563,100
2020-06-09,100.010002,100.010002,100.010002,100.010002,84.087563,100
2020-06-10,100.019997,100.019997,100.014999,100.014999,84.091751,12300
2020-06-11,100.019997,100.029999,100.014999,100.014999,84.091751,7587100
2020-06-12,100.010002,100.019997,100.010002,100.014999,84.091751,4900
2020-06-15,100.019997,100.019997,100.014999,100.014999,84.091751,8500
2020-06-16,100.014999,100.014999,100.014999,100.014999,84.091751,100
2020-06-17,100.029999,100.029999,100.014999,100.019997,84.09597,4600
2020-06-18,100.029999,100.029999,100.019997,100.024002,84.099319,19600
2020-06-19,100.025002,100.028999,100.019997,100.025002,84.100143,5600
2020-06-22,100.029999,100.029999,100.010002,100.019997,84.09597,22500
2020-06-23,100.029999,100.029999,100.019997,100.019997,84.09597,1500
2020-06-24,100.010002,100.029999,100.010002,100.019997,84.09597,17100
2020-06-25,100.019997,100.019997,100.010002,100.019997,84.09597,10700
2020-06-26,100.029999,100.029999,100.010002,100.014999,84.091751,51200
2020-06-29,100.025002,100.025002,100.019997,100.025002,84.100143,3700
2020-06-30,100.025002,100.025002,100.025002,100.025002,84.100143,700
2020-07-01,100.019997,100.019997,100.014999,100.014999,84.096794,15100
2020-07-02,100.019997,100.029999,100.019997,100.021004,84.10183,5300
2020-07-06,100.014999,100.019997,100.014999,100.014999,84.096794,2400
2020-07-07,100.011002,100.019997,100.011002,100.014999,84.096794,3900
2020-07-08,100.019997,100.029999,100.014999,100.014999,84.096794,18700
2020-07-09,100.029999,100.029999,100.025002,100.025002,84.105186,400
2020-07-10,100.029999,100.029999,100.025002,100.028999,84.108566,26400
