Date,Open,High,Low,Close,AdjClose,Volume
2010-11-19,109.5,109.940002,109.040001,109.900002,83.225044,20250
2010-11-22,109.419998,109.800003,108.580002,109.800003,83.149338,25350
2010-11-23,108.559998,108.639999,107.919998,108.260002,81.983124,142400
2010-11-24,108.940002,109.779999,108.940002,109.660004,83.043312,30100
2010-11-26,108.959999,109.400002,108.82,109.040001,82.573769,32650
2010-11-29,108.360001,109.160004,107.660004,108.940002,82.498077,46000
2010-11-30,107.959999,108.860001,107.82,108.18,81.922516,91950
2010-12-01,109.919998,110.739998,109.879997,110.620003,83.770309,33350
2010-12-02,110.739998,112.099998,110.739998,112.059998,84.860764,60650
2010-12-03,111.660004,112.459999,111.639999,112.339996,85.0728,184100
2010-12-06,112.160004,112.419998,112,112.199997,84.966774,64150
2010-12-07,113.339996,113.379997,112.199997,112.239998,84.997093,109000
2010-12-08,112.400002,112.739998,111.959999,112.699997,85.345428,69050
2010-12-09,113.339996,113.339996,112.660004,113.120003,85.663475,54850
2010-12-10,113.480003,113.879997,113.220001,113.800003,86.178413,73950
2010-12-13,114.32,114.440002,113.82,113.860001,86.223877,77050
2010-12-14,114.120003,114.360001,113.660004,113.919998,86.26931,59650
2010-12-15,113.739998,114.199997,113.239998,113.419998,85.890694,43600
2010-12-16,113.559998,114.160004,113.120003,114.080002,86.390472,60600
2010-12-17,114,114.339996,113.82,114.239998,86.51165,59150
2010-12-20,114.580002,114.739998,113.959999,114.480003,86.69339,72600
2010-12-21,114.860001,115.300003,114.779999,115.18,87.223495,76200
2010-12-22,115.339996,115.599998,115.239998,115.599998,87.541542,108250
2010-12-23,115.440002,115.519997,115.160004,115.419998,87.405235,57400
2010-12-27,114.459999,115.019997,114.400002,114.980003,87.470665,71800
2010-12-28,115.220001,115.220001,114.800003,115.099998,87.561913,56650
2010-12-29,115.32,115.440002,115.199997,115.199997,87.638008,53600
2010-12-30,115.120003,115.260002,114.879997,115.019997,87.501068,78900
2010-12-31,114.860001,115.139999,114.68,115.139999,87.592392,145750
2011-01-03,115.940002,116.660004,115.900002,116.220001,88.413979,119200
2011-01-04,116.559998,116.559998,115.5,116.120003,88.337898,108350
2011-01-05,115.860001,116.800003,115.720001,116.739998,88.809586,717750
2011-01-06,116.839996,116.919998,116.220001,116.540001,88.657425,72450
2011-01-07,116.699997,116.860001,115.480003,116.300003,88.474846,82250
2011-01-10,115.879997,116.279999,115.480003,116.199997,88.39875,124500
2011-01-11,116.660004,116.839996,116.120003,116.580002,88.687843,131700
2011-01-12,117.32,117.720001,117.099998,117.620003,89.479042,107350
2011-01-13,117.68,117.739998,117.160004,117.459999,89.357315,96050
2011-01-14,117.300003,118.339996,117.260002,118.300003,89.996338,193400
2011-01-18,118.260002,118.580002,118.040001,118.5,90.148491,194900
2011-01-19,118.440002,118.5,117.019997,117.32,89.250793,111950
2011-01-20,117.080002,117.379997,116.32,117.18,89.144287,103450
2011-01-21,117.900002,118.139999,117.32,117.440002,89.342087,117950
2011-01-24,117.400002,118.199997,117.379997,118.160004,89.889839,455900
2011-01-25,117.800003,118.199997,117.199997,118.120003,89.859383,226550
2011-01-26,118.440002,118.940002,118.239998,118.739998,90.331093,109250
2011-01-27,118.68,119.099998,118.480003,118.900002,90.452774,297250
2011-01-28,119.080002,119.220001,116.68,116.800003,88.855217,891400
2011-01-31,117.220001,117.800003,116.940002,117.699997,89.539864,140550
